id,rating,name,site,email,phone,street,city,state,lat,lng
851f799f-0852-439e-b9b2-df92c43e7672,1,"Barajas, Bahena and Kano",https://federico.com,Anita_Mata71@hotmail.com,534 814 204,82247 Mariano Entrada,MÃ©rida Alfredotown,Durango,19.44005705,-99.1270471
4e17896d-a26f-44ae-a8a4-5fbd5cde79b0,0,HernÃ¡ndez - Lira,http://graciela.com.mx,Brandon_Vigil@hotmail.com,570 746 998,93725 Erick Arroyo,Mateofurt,Hidalgo,19.43790428,-99.12865768
c0ffd058-e773-47f1-974b-42d41cb555bf,3,RendÃ³n - Elizondo,https://cristina.mx,Hugo.Casanova49@gmail.com,5866-337-812,5518 Monserrat Explanada,Chignahuapan MarÃ­a,Sinaloa,19.43607059,-99.12978657
c29082c4-4352-4517-9b4b-c45f86fc1830,2,NÃ¡jera - ChÃ¡vez,https://pedro.gob.mx,Carlota31@hotmail.com,5532-129-406,79224 Mariano TravesÃ­a,NezahualcÃ³yotl Timoteo,Coahuila,19.44248691,-99.12383326
2b8f5a44-1e8b-44ec-9b25-0edc5b64b7e6,3,"Hurtado, RolÃ³n and Segovia",https://elÃ­as.org,RosaMara_Figueroa@corpfolder.com,559.867.074,039 Susana PolÃ­gono,Marco Antonioland,Colima,19.43349766,-99.12851351
ddb77425-2c3f-435c-8391-021b40010b0d,0,Serrato Hermanos,https://octavio.org,Yamileth_Lugo28@corpfolder.com,571.744.718,14476 Delgadillo Partida,NevÃ¡rezfort,Michoacan,19.43470423,-99.12638178
7b845a5f-94d4-4d52-bbb7-838839a180d6,1,"Saiz, Aponte and MuÃ±oz",https://homero.com,Carolina_Merino@nearbpo.com,584212054,563 Verduzco VÃ­a PÃºblica,Nuevo Laredo Alejandrahaven,San Luis PotosÃ­,19.44148782,-99.12748993
030eaf75-da6e-4748-9727-f2704f831498,2,NiÃ±o - Negrete,https://elizabeth.gob.mx,Luz_Sevilla@gmail.com,5178-668-409,3041 Gael Torrente,QuerÃ©taro Saratown,Oaxaca,19.44168147,-99.12657324
1ce4a7f8-ff21-4450-9107-f4f952f39f99,4,Kortajarena - Rangel,http://dÃ©bora.gob.mx,Brandon_Quiros@gmail.com,560 092 151,59897 Esquivel Aldea,Monterrey Dulce MarÃ­a,QuerÃ©taro,19.44070197,-99.12601493
9f98fad3-ecd6-421b-ba8c-2bd63340473d,2,MacÃ­as S.L.,http://miguel.com.mx,Jazmin_Santiago7@yahoo.com,508272671,1736 Adela UrbanizaciÃ³n,Puerto Vallarta Dorotea,Baja California Sur,19.43692578,-99.13156075
38c965f9-74b0-4d8e-9cc2-2e457a1ebb83,3,Arreola Hermanos,https://alejandra.com.mx,Ximena_Domnquez62@yahoo.com,531.757.355,9061 Fernando Puente,Campeche Mercedes,Guanajuato,19.43498882,-99.12630735
4501fb34-eefe-4f63-90c9-a9a1272df71d,0,Gallardo - Angulo,https://josÃ© antonio.mx,Brandon34@gmail.com,5191-333-084,7229 Villarreal Gran Subida,Campeche Daniela,Quintana Roo,19.43413203,-99.13262356
d04fd5aa-4a56-43a6-91c9-35edaaadadc9,0,Calvillo S.L.,https://martÃ­n.info,JuanPablo.Cervntez@nearbpo.com,501 812 092,38836 Emilio Partida,RubÃ©nchester,Tabasco,19.44239317,-99.12657698
a850ff07-516e-44e4-acd7-26fa0c12f4fc,1,Palomo - Cardona,http://marco antonio.org,Lizbeth.Laboy@hotmail.com,508.505.560,5588 Leticia Torrente,Tetela de Ocampo Silviafurt,Colima,19.43486986,-99.12808952
7173d827-3308-46d8-9b9e-86306ec64f78,3,CarreÃ³n e Hijos,http://dolores.org,Benjamn.Arenas27@yahoo.com,572.204.703,7124 Granado Parcela,Celaya Carlos,Puebla,19.44055436,-99.12680347
d6782cfc-29ef-4241-985b-0a6ff6cf4c64,4,MunguÃ­a S.L.,https://emmanuel.com.mx,Yaretzi_Saldivar28@yahoo.com,573.429.070,05203 MartÃ­n Lado,LeÃ³n CÃ©sarland,Guerrero,19.43889204,-99.13033427
dd56e1e9-bd67-41cd-baac-a8f9f47ad5c8,4,"Fuentes, Porras and Barajas",http://ariadna.com.mx,Jimena25@hotmail.com,5087-469-378,81414 Luz Ferrocarril,Paolabury,Michoacan,19.43935118,-99.13306613
